CAND_ID,Amount,CAND_NAME,PTY,OFFICE
H8FL25015,139846,"GARCIA, JOE",DEM,H
H2FL22072,68884,"MURPHY, PATRICK",DEM,H
H8IL21021,44000,"COSTELLO, JERRY F",DEM,H
H6CO07023,42270,"PERLMUTTER, EDWIN G",DEM,H
H6OH06095,42168,"WILSON, CHARLES A",DEM,H
H2NV00035,14165,"OCEGUERA, JOHN",DEM,H
H2NV04011,12397,"HORSFORD, STEVEN ALEXZANDER",DEM,H
H2CO03138,12284,"PACE, SALVATORE II",DEM,H
H8CA22089,12000,"CAPPS, LOIS",DEM,H
H0PA12132,11970,"CRITZ, MARK",DEM,H
H2OH09031,11500,"KAPTUR, MARCY C HON.",DEM,H
H2AZ02055,11000,"PASTOR, ED L",DEM,H
H2MD05155,10500,"HOYER, STENY HAMILTON",DEM,H
H6OR04047,10000,"DEFAZIO, PETER A",DEM,H
H8NV03036,10000,"TITUS, DINA",DEM,H
H0UT02096,10000,"MATHESON, JAMES D",DEM,H
H6CA09023,10000,"STARK, FORTNEY HILLMAN JR",DEM,H
H8CA05035,9500,"PELOSI, NANCY",DEM,H
H0NJ01066,9000,"ANDREWS, ROBERT E. MR.",DEM,H
H8NY07046,7000,"CROWLEY, JOSEPH",DEM,H
H6NC04037,7000,"PRICE, DAVID",DEM,H
H2TX29030,7000,"GREEN, RAYMOND E. 'GENE'",DEM,H
H8NJ03073,5500,"PALLONE, FRANK JR",DEM,H
H6VT00160,5500,"WELCH, PETER",DEM,H
H2IL12122,5000,"ENYART, WILLIAM L JR",DEM,H
H0WA02080,5000,"LARSEN, RICK",DEM,H
H6WV04057,5000,"RAHALL, NICK JOE II",DEM,H
H8PA01153,5000,"BRADY, ROBERT A",DEM,H
H8NC07044,5000,"MCINTYRE, MIKE REP.",DEM,H
H2IL17063,5000,"KOEHLER, DAVID M",DEM,H
H6MN05183,5000,"ELLISON, KEITH MAURICE",DEM,H
H4GA12010,4500,"BARROW, JOHN J.",DEM,H
H6NJ09165,4000,"ROTHMAN, STEVEN R.",DEM,H
H4WI04183,4000,"MOORE, GWENDOLYNNE",DEM,H
H2MI17023,4000,"LEVIN, SANDER M MR",DEM,H
H2NV02247,4000,"MARSHALL, KATE",DEM,H
H2CA30143,4000,"BECERRA, XAVIER",DEM,H
H0VA08040,3500,"MORAN, JAMES P JR",DEM,H
H8LA02054,3500,"RICHMOND, CEDRIC L.",DEM,H
H8OH11141,3000,"FUDGE, MARCIA L",DEM,H
H6NJ08118,3000,"PASCRELL, WILLIAM J JR",DEM,H
H6VA01117,3000,"SCOTT, ROBERT C",DEM,H
H0IL05096,3000,"QUIGLEY, MIKE",DEM,H
H6CA46033,3000,"SANCHEZ, LORETTA",DEM,H
H4CA17021,3000,"FARR, SAM",DEM,H
H2NY17071,2000,"NADLER, JERROLD L. MR.",DEM,H
H4IL07037,2000,"DAVIS, DANNY K",DEM,H
H6CO01141,2000,"DEGETTE, DIANA L.",DEM,H
H8CT01046,2000,"LARSON, JOHN B",DEM,H
H6NJ13191,2000,"SIRES, ALBIO",DEM,H
H8TX20077,2000,"GONZALEZ, CHARLES A.",DEM,H
H6NJ12144,2000,"HOLT, RUSH D.",DEM,H
H2NJ10154,2000,"PAYNE, DONALD M., JR.",DEM,H
H4PA13124,2000,"SCHWARTZ, ALLYSON Y.",DEM,H
H8CA34068,2000,"NAPOLITANO, GRACE",DEM,H
H8CA36097,2000,"HAHN, JANICE",DEM,H
H6WA09025,2000,"SMITH, D ADAM",DEM,H
H4IL03077,2000,"LIPINSKI, DANIEL",DEM,H
H2PA06080,2000,"HOLDEN, TIMOTHY T",DEM,H
H0NJ10026,2000,"PAYNE, DONAL M.",DEM,H
H6OH13133,1522,"SUTTON, BETTY S",DEM,H
H2SC02042,1500,"CLYBURN, JAMES E",DEM,H
H8CA09060,1500,"LEE, BARBARA",DEM,H
H8CA01109,1500,"THOMPSON, MIKE MR.",DEM,H
H6KY03124,1500,"YARMUTH, JOHN A MR",DEM,H
H0CT03072,1250,"DELAURO, ROSA L",DEM,H
H0DE01017,1000,"CARNEY, JOHN CHARLES JR",DEM,H
H4TX09095,1000,"GREEN, ALEXANDER",DEM,H
H6AZ08038,1000,"GIFFORDS, GABRIELLE",DEM,H
H6TX00115,1000,"REYES, SILVESTRE",DEM,H
H8VA11062,1000,"CONNOLLY, GERRY",DEM,H
H4MA06033,1000,"TIERNEY, JOHN F",DEM,H
H2NY11017,1000,"TOWNS, EDOLPHUS",DEM,H
H0AL07086,1000,"SEWELL, TERRYCINA ANDREA",DEM,H
H2AZ09019,1000,"SINEMA, KYRSTEN",DEM,H
H6CA05195,1000,"MATSUI, DORIS",DEM,H
H4MS02068,1000,"THOMPSON, BENNIE G",DEM,H
H2NY14037,1000,"MALONEY, CAROLYN B",DEM,H
H2IL01042,1000,"RUSH, BOBBY L",DEM,H
H2GU00033,1000,"BORDALLO, MADELEINE Z. MS.",DEM,H
H2MD08126,1000,"VAN HOLLEN, CHRIS",DEM,H
H0FL17068,1000,"WILSON, FREDERICA S",DEM,H
H2CA00120,1000,"BROWNLEY, JULIA",DEM,H
H0MO00019,1000,"CARNAHAN, JOHN RUSSELL",DEM,H
H6TN09068,1000,"COHEN, STEPHEN IRA",DEM,H
H2IL12114,1000,"HARRIMAN, BRAD J",DEM,H
H2MT00047,1000,"GILLAN, KIM",DEM,H
H4TX18054,1000,"LEE, SHEILA JACKSON",DEM,H
H2PA02055,1000,"FATTAH, CHAKA MR.",DEM,H
H8AZ01104,1000,"KIRKPATRICK, ANN",DEM,H
H6MI01028,1000,"CONYERS, JOHN JR.",DEM,H
H2FL14053,1000,"FRANKEL, LOIS J.",DEM,H
H6IL02124,1000,"JACKSON, JESSE JR",DEM,H
H2MD02160,1000,"RUPPERSBERGER, C.A. DUTCH",DEM,H
H2NC12021,1000,"WATT, MELVIN L",DEM,H
H2NY01067,1000,"BISHOP, TIMOTHY",DEM,H
H6PA04110,1000,"ALTMIRE, JASON",DEM,H
H2TX00015,1000,"JOHNSON, EDDIE BERNICE",DEM,H
H2CA00104,1000,"LOWENTHAL, ALAN",DEM,H
H2HI02110,1000,"HANABUSA, COLLEEN WAKAKO",DEM,H
H6FL11126,1000,"CASTOR, KATHY",DEM,H
H4NC01046,1000,"BUTTERFIELD, G. K.",DEM,H
