seriesId,collectAmt,clusterId
639,3146,0
874,17,0
66,41,0
530,2057,0
2987,23,0
633,4,1
639,1,1
874,16,1
66,55,1
792,3,1
364,3,1
2987,55,1
633,4,2
639,2,2
874,2706,2
66,87,2
792,21,2
364,7,2
530,18,2
2987,1969,2
633,114,3
639,81,3
874,6,3
66,1,3
792,4,3
364,171,3
530,2,3
2987,4,3
633,6,4
639,3,4
874,6,4
66,45,4
792,2,4
364,45,4
530,2,4
874,2,5
66,2136,5
792,2224,5
530,42,5
2987,16,5
633,3483,6
639,24,6
874,64,6
66,72,6
792,4,6
530,6,6
2987,21,6
874,40,7
792,25,7
364,2152,7
530,38,7
2987,47,7
633,1,8
639,117,8
874,2,8
66,2,8
792,117,8
364,5,8
2987,5,8
874,2,9
66,2,9
792,1,9
364,3,9
530,24,9
2987,24,9
