CMTE_ID,FILE_NUM,TRANSACTION_TP,Month,Day,Year,TRANSACTION_AMT,STATE,ENTITY_TYPE,CAND_ID,CAND_NAME,OFFICE,PTY
C00226472,804544,24K,2,3,2011,1000,LA,PAC,H8LA02054,"RICHMOND, CEDRIC L.",H,DEM
C00168070,734911,24K,2,15,2011,1250,CT,PAC,H0CT03072,"DELAURO, ROSA L",H,DEM
C00384602,757123,24K,3,18,2011,2000,TX,PAC,H8TX20077,"GONZALEZ, CHARLES A.",H,DEM
C00079541,725965,24K,3,21,2011,1000,AZ,PAC,H6AZ08038,"GIFFORDS, GABRIELLE",H,DEM
C00226472,804544,24K,3,21,2011,1000,AL,PAC,H0AL07086,"SEWELL, TERRYCINA ANDREA",H,DEM
C00101766,729045,24K,4,14,2011,3000,WV,PAC,H6WV04057,"RAHALL, NICK JOE II",H,DEM
C00078261,731616,24K,5,3,2011,1000,CA,PAC,H4CA17021,"FARR, SAM",H,DEM
C00034785,772139,24K,5,6,2011,2500,GA,PAC,H4GA12010,"BARROW, JOHN J.",H,DEM
C00226472,804544,24K,5,9,2011,1500,LA,PAC,H8LA02054,"RICHMOND, CEDRIC L.",H,DEM
C00101766,731615,24K,5,10,2011,1000,IL,PAC,H8IL21021,"COSTELLO, JERRY F",H,DEM
C00101766,731615,24K,5,11,2011,1000,OR,PAC,H6OR04047,"DEFAZIO, PETER A",H,DEM
C00101766,731615,24K,5,11,2011,1000,NJ,PAC,H0NJ01066,"ANDREWS, ROBERT E. MR.",H,DEM
C00384602,758399,24K,5,25,2011,5000,CA,PAC,H6CA09023,"STARK, FORTNEY HILLMAN JR",H,DEM
C00384602,758399,24K,5,26,2011,1500,UT,PAC,H0UT02096,"MATHESON, JAMES D",H,DEM
C00176727,731693,24K,5,31,2011,2000,AZ,PAC,H2AZ02055,"PASTOR, ED L",H,DEM
C00101766,736868,24K,6,2,2011,1000,CA,PAC,H8CA34068,"NAPOLITANO, GRACE",H,DEM
C00367995,733717,24K,6,2,2011,1000,WA,PAC,H6WA09025,"SMITH, D ADAM",H,DEM
C00366070,738932,24K,6,7,2011,1500,VA,PAC,H0VA08040,"MORAN, JAMES P JR",H,DEM
C00384602,758599,24K,6,8,2011,1000,PA,PAC,H4PA13124,"SCHWARTZ, ALLYSON Y.",H,DEM
C00101766,736868,24K,6,14,2011,1000,CA,PAC,H2CA30143,"BECERRA, XAVIER",H,DEM
C00101766,736868,24K,6,14,2011,1000,IL,PAC,H0IL05096,"QUIGLEY, MIKE",H,DEM
C00101766,736868,24K,6,15,2011,2000,TX,PAC,H2TX29030,"GREEN, RAYMOND E. 'GENE'",H,DEM
C00366070,738932,24K,6,16,2011,2000,OH,PAC,H2OH09031,"KAPTUR, MARCY C HON.",H,DEM
C00367995,733717,24K,6,17,2011,2500,NV,PAC,H2NV02247,"MARSHALL, KATE",H,DEM
C00367995,733717,24K,6,20,2011,1000,NC,PAC,H8NC07044,"MCINTYRE, MIKE REP.",H,DEM
C00101766,736868,24K,6,22,2011,1000,VA,PAC,H8VA11062,"CONNOLLY, GERRY",H,DEM
C00101766,736868,24K,6,23,2011,1000,GU,PAC,H2GU00033,"BORDALLO, MADELEINE Z. MS.",H,DEM
C00101766,736868,24K,6,23,2011,2000,NJ,PAC,H6NJ09165,"ROTHMAN, STEVEN R.",H,DEM
C00101766,736868,24K,6,23,2011,1000,WA,PAC,H0WA02080,"LARSEN, RICK",H,DEM
C00313650,764844,24K,6,24,2011,1000,AZ,PAC,H2AZ02055,"PASTOR, ED L",H,DEM
C00078261,736876,24K,6,27,2011,1000,TX,PAC,H4TX09095,"GREEN, ALEXANDER",H,DEM
C00142315,750484,24K,6,27,2011,1500,NV,PAC,H2NV02247,"MARSHALL, KATE",H,DEM
C00309146,759660,24K,7,15,2011,1500,CA,PAC,H8CA09060,"LEE, BARBARA",H,DEM
C00168070,759911,24K,7,21,2011,1000,TX,PAC,H6TX00115,"REYES, SILVESTRE",H,DEM
C00168070,759911,24K,7,21,2011,1000,MI,PAC,H2MI17023,"LEVIN, SANDER M MR",H,DEM
C00101766,742154,24K,7,25,2011,1000,OR,PAC,H6OR04047,"DEFAZIO, PETER A",H,DEM
C00101766,742154,24K,7,25,2011,1000,NY,PAC,H2NY01067,"BISHOP, TIMOTHY",H,DEM
C00101766,742154,24K,7,26,2011,1000,OH,PAC,H8OH11141,"FUDGE, MARCIA L",H,DEM
C00101766,742154,24K,7,29,2011,4000,DC,PAC,H2MD05155,"HOYER, STENY HAMILTON",H,DEM
C00176727,743238,24K,7,31,2011,2000,OR,PAC,H6OR04047,"DEFAZIO, PETER A",H,DEM
C00168070,759911,24K,8,25,2011,1000,IL,PAC,H6IL02124,"JACKSON, JESSE JR",H,DEM
C00101766,749510,24K,9,7,2011,1000,TX,PAC,H2TX29030,"GREEN, RAYMOND E. 'GENE'",H,DEM
C00101766,749510,24K,9,8,2011,1000,NJ,PAC,H0NJ01066,"ANDREWS, ROBERT E. MR.",H,DEM
C00101766,749510,24K,9,8,2011,1000,NJ,PAC,H6NJ12144,"HOLT, RUSH D.",H,DEM
C00366070,761304,24K,9,15,2011,2500,VT,PAC,H6VT00160,"WELCH, PETER",H,DEM
C00142315,747141,24K,9,20,2011,5000,IL,PAC,H2IL17063,"KOEHLER, DAVID M",H,DEM
C00101766,749510,24K,9,22,2011,1000,IL,PAC,H4IL07037,"DAVIS, DANNY K",H,DEM
C00176727,750244,24K,9,30,2011,2500,NC,PAC,H6NC04037,"PRICE, DAVID",H,DEM
C00176727,750244,24K,9,30,2011,1000,MI,PAC,H2MI17023,"LEVIN, SANDER M MR",H,DEM
C00168070,759911,24K,10,7,2011,1000,CA,PAC,H2CA30143,"BECERRA, XAVIER",H,DEM
C00101766,754260,24K,10,18,2011,1000,NY,PAC,H8NY07046,"CROWLEY, JOSEPH",H,DEM
C00384602,759327,24K,10,24,2011,1500,KY,PAC,H6KY03124,"YARMUTH, JOHN A MR",H,DEM
C00101766,754260,24K,10,25,2011,2000,NY,PAC,H2NY17071,"NADLER, JERROLD L. MR.",H,DEM
C00176727,764992,24K,10,31,2011,1000,AZ,PAC,H2AZ02055,"PASTOR, ED L",H,DEM
C00168070,759911,24K,11,10,2011,1500,CA,PAC,H8CA01109,"THOMPSON, MIKE MR.",H,DEM
C00078261,754874,24K,11,17,2011,1000,CA,PAC,H4CA17021,"FARR, SAM",H,DEM
C00101766,754912,24K,11,17,2011,1000,NJ,PAC,H0NJ10026,"PAYNE, DONAL M.",H,DEM
C00078261,754874,24K,11,17,2011,1000,CA,PAC,H6CA05195,"MATSUI, DORIS",H,DEM
C00389403,759093,24K,11,30,2011,2000,GA,PAC,H4GA12010,"BARROW, JOHN J.",H,DEM
C00389403,759093,24K,11,30,2011,2000,MI,PAC,H2MI17023,"LEVIN, SANDER M MR",H,DEM
C00309146,759660,24K,12,2,2011,1000,NC,PAC,H4NC01046,"BUTTERFIELD, G. K.",H,DEM
C00309146,759660,24K,12,2,2011,1000,NY,PAC,H2NY11017,"TOWNS, EDOLPHUS",H,DEM
C00384602,761202,24K,12,6,2011,2500,CA,PAC,H8CA05035,"PELOSI, NANCY",H,DEM
C00309146,759660,24K,12,6,2011,1000,MD,PAC,H0NJ10026,"PAYNE, DONAL M.",H,DEM
C00078261,759420,24K,12,9,2011,1000,NJ,PAC,H6NJ13191,"SIRES, ALBIO",H,DEM
C00101766,759418,24K,12,14,2011,2000,NJ,PAC,H6NJ09165,"ROTHMAN, STEVEN R.",H,DEM
C00485003,786596,24K,12,16,2011,1000,MT,PAC,H2MT00047,"GILLAN, KIM",H,DEM
C00142315,780581,24K,12,20,2011,5000,NV,PAC,H8NV03036,"TITUS, DINA",H,DEM
C00142315,780581,24K,12,20,2011,5000,NV,PAC,H2NV04011,"HORSFORD, STEVEN ALEXZANDER",H,DEM
C00384602,761202,24K,12,20,2011,2500,UT,PAC,H0UT02096,"MATHESON, JAMES D",H,DEM
C00451153,774713,24K,12,21,2011,1500,NC,PAC,H8NC07044,"MCINTYRE, MIKE REP.",H,DEM
C00451153,774713,24K,12,21,2011,1000,VA,PAC,H6VA01117,"SCOTT, ROBERT C",H,DEM
C00176727,764995,24K,12,21,2011,1500,NC,PAC,H6NC04037,"PRICE, DAVID",H,DEM
C00176727,764995,24K,12,21,2011,1000,OR,PAC,H6OR04047,"DEFAZIO, PETER A",H,DEM
C00079541,767050,24K,1,23,2012,2000,CO,PAC,H6CO01141,"DEGETTE, DIANA L.",H,DEM
C00079541,767050,24K,1,23,2012,2000,DC,PAC,H2MD05155,"HOYER, STENY HAMILTON",H,DEM
C00079541,767050,24K,1,23,2012,2000,WI,PAC,H4WI04183,"MOORE, GWENDOLYNNE",H,DEM
C00079541,767050,24K,1,23,2012,2000,CA,PAC,H8CA05035,"PELOSI, NANCY",H,DEM
C00079541,767050,24K,1,23,2012,5000,CA,PAC,H8CA22089,"CAPPS, LOIS",H,DEM
C00078261,770753,24K,2,15,2012,2000,NJ,PAC,H6NJ08118,"PASCRELL, WILLIAM J JR",H,DEM
C00142315,808616,24K,2,21,2012,1000,NY,PAC,H2NY14037,"MALONEY, CAROLYN B",H,DEM
C00078261,770753,24K,2,27,2012,1000,NJ,PAC,H8NJ03073,"PALLONE, FRANK JR",H,DEM
C00078261,770753,24K,2,29,2012,1000,TX,PAC,H4TX18054,"LEE, SHEILA JACKSON",H,DEM
C00366070,813981,24K,3,1,2012,2500,OH,PAC,H2OH09031,"KAPTUR, MARCY C HON.",H,DEM
C00309146,781352,24K,3,2,2012,1000,DC,PAC,H6MI01028,"CONYERS, JOHN JR.",H,DEM
C00078261,779386,24K,3,7,2012,1000,IL,PAC,H0IL05096,"QUIGLEY, MIKE",H,DEM
